mz,time,Control1,Control2,Control3,Control4,Control5,H1N1_1,H1N1_2,H1N1_3,H1N1_4,H1N1_5
260.1849017,127.248,21.38843173,21.00189798,23.1183684,22.33706734,22.45946508,22.51888341,22.20003241,21.79462633,22.65766019,22.93446999
119.0348471,123.614,22.00734279,21.18460018,22.73347362,22.83677992,22.63513141,23.28242183,23.23351838,22.13777563,23.38739827,24.26666586
243.015112,210.988,19.73697759,20.28622675,20.07661786,20.22728145,18.85775868,20.36588825,20.52300844,19.68018031,18.61705468,19.45911551
260.1671617,118.452,19.78385543,19.828595,18.94363901,19.75205317,20.86966533,19.98318594,21.18395328,19.68582376,21.57985754,21.46731509
299.1844157,114.3055,21.16618577,21.03252286,20.77267356,20.62948242,20.03580467,20.7623606,20.72052643,21.17697513,20.37296723,19.91363615
393.2600027,163.239,19.56308115,18.56881594,19.44352189,18.65075089,20.60349971,18.92858292,19.61546347,18.44247859,20.42074846,20.29118309
163.0612264,165.428,21.50682821,20.42506314,19.53105291,20.60349971,18.99089936,20.07402996,19.65309859,20.02202556,19.05851296,20.48258284
137.0957475,46.97935,21.04445495,20.81489122,20.63982943,21.32966439,21.32314337,21.26383176,20.53426274,20.49811841,21.09351197,21.48607298
213.111489,115.223,21.85906275,22.24325095,21.26062263,21.84766835,21.26253387,21.49118809,20.62281821,21.7028063,20.8354884,20.15782431
123.0800796,127.834,24.0138772,23.86181246,24.38614306,23.23988165,23.9910208,25.52075985,24.29282755,25.04876201,23.92190388,24.13889618
139.0749957,116.394,22.59201225,22.60383173,22.20577368,22.53207823,22.04076626,21.44092725,22.1524633,22.3048048,21.92735608,20.83866671
231.0919292,274.448,19.89905245,19.51007826,20.09563785,21.1480935,20.10186985,19.94006616,19.19919928,20.71655871,20.09271062,20.25601408
390.2473653,112.4075,21.3412181,21.62787265,21.20027652,20.54808872,20.67676827,20.62948242,21.00621114,21.14070959,20.80539029,19.88944943
198.0520427,291.983,20.7854492,21.52889366,22.57506913,23.3465291,22.58123167,22.94336839,22.09885745,20.74163118,22.81803509,22.41666967
